trans_id,lang,translation
多賀上,ja,多賀上
多賀上,ja-Hira,たがかみ
出屋,ja,出屋
出屋,ja-Hira,いでや
出屋上,ja,出屋上
出屋上,ja-Hira,いでやかみ
坂辺,ja,坂辺
坂辺,ja-Hira,さかなべ
坂辺上,ja,坂辺上
坂辺上,ja-Hira,さかなべかみ
合田下,ja,合田下
合田下,ja-Hira,あいだしも
合田,ja,合田
合田,ja-Hira,あいだ
合田上,ja,合田上
合田上,ja-Hira,あいだかみ
仁堀下,ja,仁堀下
仁堀下,ja-Hira,にぼりしも
仁堀,ja,仁堀
仁堀,ja-Hira,にぼり
仁堀局前,ja,仁堀局前
仁堀局前,ja-Hira,にぼりきょくまえ
仁堀上,ja,仁堀上
仁堀上,ja-Hira,にぼりかみ
菊ケ峠,ja,菊ケ峠
菊ケ峠,ja-Hira,きくがとうげ
塩木上,ja,塩木上
塩木上,ja-Hira,しおぎかみ
塩木中,ja,塩木中
塩木中,ja-Hira,しおぎなか
塩木下,ja,塩木下
塩木下,ja-Hira,しおぎしも
湯免温泉,ja,湯免温泉
湯免温泉,ja-Hira,ゆめおんせん
佐伯北,ja,佐伯北
佐伯北,ja-Hira,さえききた
吉井総合センター,ja,吉井総合センター
吉井総合センター,ja-Hira,よしいそうごうせんたー
高田,ja,高田
高田,ja-Hira,たかだ
稲蒔,ja,稲蒔
稲蒔,ja-Hira,いなまき
福田住宅前,ja,福田住宅前
福田住宅前,ja-Hira,ふくだじゅうたくまえ
福田,ja,福田
福田,ja-Hira,ふくだ
山方口,ja,山方口
山方口,ja-Hira,やまがたぐち
吉井中学校前,ja,吉井中学校前
吉井中学校前,ja-Hira,よしいちゅうがっこうまえ
周匝,ja,周匝
周匝,ja-Hira,すさい
周匝上,ja,周匝上
周匝上,ja-Hira,すさいかみ
落合,ja,落合
落合,ja-Hira,おちあい
高下,ja,高下
高下,ja-Hira,こうげ
奥,ja,奥
奥,ja-Hira,おく
奥上,ja,奥上
奥上,ja-Hira,おくかみ
天神,ja,天神
天神,ja-Hira,てんじん
王子橋,ja,王子橋
王子橋,ja-Hira,おうじばし
福本下,ja,福本下
福本下,ja-Hira,ふくもとしも
福本,ja,福本
福本,ja-Hira,ふくもと
小原,ja,小原
小原,ja-Hira,こばら
椿谷,ja,椿谷
椿谷,ja-Hira,つばきだに
尾谷,ja,尾谷
尾谷,ja-Hira,おたに
尾原,ja,尾原
